time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(c/s)
2021-10-11T23:00:00.039000,0.0,-0.0668264408224357
2021-10-11T23:00:00.089000,0.05,-0.03265281487078582
2021-10-11T23:00:00.139000,0.1,0.002300088723673344
2021-10-11T23:00:00.189000,0.15,0.038020815000092814
2021-10-11T23:00:00.239000,0.2,0.07449708740781134
2021-10-11T23:00:00.289000,0.25,0.11171580617641662
2021-10-11T23:00:00.339000,0.3,0.1496630474769175
2021-10-11T23:00:00.389000,0.35,0.1883240633899737
2021-10-11T23:00:00.439000,0.4,0.22768328269665236
2021-10-11T23:00:00.489000,0.45,0.2677243125066813
2021-10-11T23:00:00.539000,0.5,0.30842994073864505
2021-10-11T23:00:00.589000,0.55,0.34978213946602277
2021-10-11T23:00:00.639000,0.6,0.39176206914239603
2021-10-11T23:00:00.689000,0.65,0.4343500837185625
2021-10-11T23:00:00.739000,0.7,0.47752573666367387
2021-10-11T23:00:00.789000,0.75,0.5212677879018798
2021-10-11T23:00:00.839000,0.8,0.5655542116752956
2021-10-11T23:00:00.889000,0.85,0.6103622053434309
2021-10-11T23:00:00.939000,0.9,0.6556681991285073
2021-10-11T23:00:00.989000,0.95,0.7014478668153713
2021-10-11T23:00:01.039000,1.0,0.7476761374139584
2021-10-11T23:00:01.089000,1.05,0.7943272077914959
2021-10-11T23:00:01.139000,1.1,0.8413745562808468
2021-10-11T23:00:01.189000,1.15,0.8887909572705845
2021-10-11T23:00:01.239000,1.2,0.9365484967815613
2021-10-11T23:00:01.289000,1.25,0.9846185890338897
2021-10-11T23:00:01.339000,1.3,1.032971994007389
2021-10-11T23:00:01.389000,1.35,1.0815788359976684
2021-10-11T23:00:01.439000,1.4,1.1304086231691215
2021-10-11T23:00:01.489000,1.45,1.179430268105183
2021-10-11T23:00:01.539000,1.5,1.2286121093552689
2021-10-11T23:00:01.589000,1.55,1.2779219339768795
2021-10-11T23:00:01.639000,1.6,1.3273270010703762
2021-10-11T23:00:01.689000,1.65,1.3767940663029712
2021-10-11T23:00:01.739000,1.7,1.4262894074174746
2021-10-11T23:00:01.789000,1.75,1.4757788507203464
2021-10-11T23:00:01.839000,1.8,1.5252277985425862
2021-10-11T23:00:01.889000,1.85,1.5746012576659667
2021-10-11T23:00:01.939000,1.9,1.6238638687060847
2021-10-11T23:00:01.989000,1.95,1.672979936442657
2021-10-11T23:00:02.039000,2.0,1.721913461086441
2021-10-11T23:00:02.089000,2.05,1.7706281704710993
2021-10-11T23:00:02.139000,2.1,1.8190875531572595
2021-10-11T23:00:02.189000,2.15,1.8672548924349563
2021-10-11T23:00:02.239000,2.2,1.9150933012095577
2021-10-11T23:00:02.289000,2.25,1.9625657577551978
2021-10-11T23:00:02.339000,2.3,2.009635142318669
2021-10-11T23:00:02.389000,2.35,2.0562642745556303
2021-10-11T23:00:02.439000,2.4,2.102415951779916
2021-10-11T23:00:02.489000,2.45,2.1480529880056327
2021-10-11T23:00:02.539000,2.5,2.193138253760658
2021-10-11T23:00:02.589000,2.55,2.237634716649072
2021-10-11T23:00:02.639000,2.6,2.281505482638976
2021-10-11T23:00:02.689000,2.65,2.324713838051074
2021-10-11T23:00:02.739000,2.7,2.367223292222328
2021-10-11T23:00:02.789000,2.75,2.4089976208179418
2021-10-11T23:00:02.839000,2.8,2.4500009097638578
2021-10-11T23:00:02.889000,2.85,2.490197599770924
2021-10-11T23:00:02.939000,2.9,2.5295525314208334
2021-10-11T23:00:02.989000,2.95,2.5680309907829426
2021-10-11T23:00:03.039000,3.0,2.6055987555300337
2021-10-11T23:00:03.089000,3.05,2.642222141520114
2021-10-11T23:00:03.139000,3.1,2.6778680498103506
2021-10-11T23:00:03.189000,3.15,2.7125040140682746
2021-10-11T23:00:03.239000,3.2,2.746098248344448
2021-10-11T23:00:03.289000,3.25,2.778619695169858
2021-10-11T23:00:03.339000,3.3,2.810038073940393
2021-10-11T23:00:03.389000,3.35,2.840323929549875
2021-10-11T23:00:03.439000,3.4,2.869448681232254
2021-10-11T23:00:03.489000,3.45,2.8973846715727296
2021-10-11T23:00:03.539000,3.5,2.9241052156467484
2021-10-11T23:00:03.589000,3.55,2.9495846502450345
2021-10-11T23:00:03.639000,3.6,2.9737983831420354
